contract,osNumber,occurence,unit,screeningDate,distanceBaseOs,area,latitude,longitude,responsibleScreening
12345,100100,Reparo,PTS,01/01/2025,5.0,5.1,-22.527.860.045.340.500,-4.317.452.146.280.180,Jesé
54321,100200,Upgrade,PTS,02/01/2025,6.3,5.1,-2.247.205.451.467.380,-43.147.151.849.879.600,Luiz
2982,200300,Upgrade,NFO,03/01/2025,7.6,5.1,-2.228.523.935.546.220,-42.532.968.518.035.100,Rafael
192422,932145,Sinal Alto,NFO,04/01/2025,8.9,5.1,-2.226.824.967.840.290,-42.615.350.602.215.300,Rafael
200694,192187,Sinal Alto,NFO,05/01/2025,10.2,5.1,-2.232.397.067.658.880,-42.551.644.679.272.400,Rafael
260128,230092,Sinal Alto,NFO,06/01/2025,11.5,5.1,-22.272.574.587.478.700,-4.250.110.353.939.930,Luiz
89276,101010,Reparo,CMO,07/01/2025,12.8,5.1,-2.194.051.134.805.540,-4.260.553.055.623.470,Luiz
100324,303030,Reparo,PTS,08/01/2025,14.1,5.1,-22.476.497.590.901.300,-4.315.434.600.793.020,Luiz
222222,303198,Reparo,NFO,09/01/2025,15.4,5.1,-22.332.620.256.314.400,-4.249.350.851.125.760,Luiz
1234567,500123,Reparo,NFO,10/01/2025,16.7,5.1,-22.368.190.233.901.600,-4.253.950.210.581.280,Luiz
